Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Access,Assignments_Completed,Mock_Test_Score,Final_Exam_Score,Performance,Cluster
STU1072,Male,17,24,92,93,Yes,18,35,57,Average,3
STU1073,Female,23,28,70,81,No,4,46,94,Excellent,2
STU1074,Male,21,27,62,44,Yes,13,55,44,Poor,1
STU1075,Female,21,11,67,69,Yes,9,51,97,Excellent,1
STU1076,Female,24,13,73,62,Yes,15,93,36,Poor,1
STU1077,Female,24,5,76,94,Yes,5,87,70,Average,2
STU1078,Male,21,30,53,60,Yes,7,66,91,Excellent,1
STU1079,Female,20,26,71,95,Yes,1,57,54,Average,3
STU1080,Male,24,14,73,65,No,17,78,76,Excellent,1
STU1081,Female,17,10,89,93,No,19,96,55,Average,3
STU1082,Male,23,21,94,86,Yes,7,96,72,Average,2
STU1083,Female,17,28,59,60,Yes,4,70,58,Average,3
STU1084,Male,20,14,51,59,Yes,16,75,60,Average,1
STU1085,Male,19,12,89,62,Yes,15,84,36,Poor,0
STU1086,Female,18,25,55,43,Yes,4,40,80,Excellent,1
STU1087,Male,23,10,97,60,Yes,16,55,68,Average,0
STU1088,Female,24,25,67,60,Yes,3,42,96,Excellent,1
STU1089,Female,23,28,66,40,Yes,0,65,75,Excellent,1
STU1090,Female,17,37,87,54,No,5,93,49,Poor,0
STU1091,Female,18,22,94,56,Yes,0,80,89,Excellent,0
STU1092,Female,22,32,72,90,Yes,3,51,37,Poor,2
STU1093,Female,22,36,95,53,Yes,1,89,72,Average,0
STU1094,Female,24,16,79,98,No,12,31,85,Excellent,2
STU1095,Female,20,31,70,58,No,13,85,51,Average,1
STU1096,Female,22,14,59,89,Yes,16,69,83,Excellent,2
STU1097,Female,23,36,92,99,Yes,10,57,55,Average,2
STU1098,Female,22,30,62,73,No,2,32,58,Average,1
STU1099,Male,19,29,61,45,Yes,6,92,74,Average,1
STU1100,Male,19,15,58,84,No,9,52,54,Average,3
STU1101,Female,24,27,53,88,Yes,10,84,69,Average,2
STU1102,Female,19,38,88,45,Yes,9,61,82,Excellent,0
STU1103,Female,22,27,73,92,Yes,7,57,67,Average,2
STU1104,Female,20,33,83,93,Yes,4,37,90,Excellent,2
STU1105,Female,21,35,88,44,Yes,1,32,75,Excellent,0
STU1106,Female,21,11,90,46,Yes,14,82,88,Excellent,0
STU1107,Female,24,37,54,72,No,15,58,78,Excellent,1
STU1108,Female,18,25,64,52,Yes,3,88,45,Poor,3
STU1109,Male,21,6,99,90,Yes,15,53,48,Poor,2
STU1110,Female,21,22,53,93,Yes,11,67,76,Excellent,3
STU1111,Male,19,37,88,40,Yes,13,57,46,Poor,0
STU1112,Female,19,38,57,52,Yes,11,91,51,Average,1
STU1113,Female,22,24,98,82,Yes,15,80,59,Average,2
STU1114,Male,24,39,94,66,Yes,15,36,60,Average,2
STU1115,Female,18,22,73,46,Yes,11,52,81,Excellent,0
STU1116,Male,24,28,77,91,No,1,75,59,Average,2
STU1117,Female,17,12,92,42,Yes,13,57,94,Excellent,0
STU1118,Female,23,34,76,97,No,10,53,94,Excellent,2
STU1119,Male,18,14,50,64,Yes,8,36,61,Average,3
STU1120,Female,18,27,83,72,Yes,6,78,77,Excellent,0
STU1121,Male,20,15,66,79,Yes,11,32,54,Average,3
STU1122,Female,24,6,86,56,Yes,16,31,97,Excellent,1
STU1123,Male,22,30,87,84,Yes,8,36,59,Average,2
STU1124,Male,20,37,75,53,Yes,5,50,61,Average,0
STU1125,Female,18,17,73,76,Yes,11,38,86,Excellent,3
STU1126,Female,18,29,88,97,Yes,19,41,44,Poor,3
STU1127,Male,18,8,70,95,No,9,53,84,Excellent,3
STU1128,Female,21,23,79,93,Yes,8,62,64,Average,2
STU1129,Female,24,22,96,62,Yes,11,72,35,Poor,2
STU1130,Female,23,34,97,98,No,0,34,88,Excellent,2
STU1131,Male,23,23,62,63,Yes,1,43,38,Poor,1
STU1132,Male,20,27,86,68,Yes,18,65,41,Poor,0
STU1133,Male,18,20,52,77,Yes,0,64,64,Average,3
STU1134,Male,23,5,81,98,Yes,15,79,99,Excellent,2
STU1135,Male,19,16,84,93,Yes,15,40,63,Average,3
STU1136,Male,24,28,68,66,Yes,17,53,59,Average,1
STU1137,Male,23,38,63,77,Yes,17,73,74,Average,2
STU1138,Male,22,12,97,92,Yes,12,80,60,Average,2
STU1139,Male,24,22,71,79,Yes,11,46,51,Average,2
STU1140,Female,22,9,66,84,Yes,8,99,65,Average,2
STU1141,Male,23,30,53,89,Yes,4,37,95,Excellent,1
STU1142,Female,19,34,94,62,Yes,8,57,42,Poor,0
STU1143,Female,22,17,89,70,Yes,12,41,35,Poor,2
STU1144,Female,21,23,68,75,No,15,72,80,Excellent,2
STU1145,Male,23,33,86,56,Yes,9,66,54,Average,0
STU1146,Male,21,7,51,76,Yes,15,92,74,Average,1
STU1147,Male,23,30,64,42,Yes,13,92,36,Poor,1
STU1148,Male,17,16,51,75,Yes,1,39,95,Excellent,3
STU1149,Female,17,6,60,94,Yes,18,66,64,Average,3
STU1150,Male,17,15,94,44,No,10,40,64,Average,0
STU1151,Male,22,32,72,85,No,18,48,79,Excellent,2
STU1152,Male,21,22,59,54,No,10,81,58,Average,1
STU1153,Male,21,17,52,91,No,13,47,90,Excellent,3
STU1154,Male,21,26,54,88,No,14,61,95,Excellent,3
STU1155,Female,19,16,52,45,Yes,6,52,47,Poor,1
STU1156,Male,21,6,87,98,Yes,14,41,90,Excellent,2
STU1157,Female,19,11,62,49,Yes,7,87,49,Poor,1
STU1158,Male,17,30,91,93,Yes,3,50,45,Poor,3
STU1159,Female,17,30,68,71,Yes,17,50,46,Poor,3
STU1160,Male,22,28,89,62,Yes,13,58,37,Poor,0
STU1161,Male,23,16,99,87,Yes,17,76,58,Average,2
STU1162,Female,17,20,84,56,Yes,3,41,43,Poor,0
STU1163,Female,23,27,73,85,Yes,1,87,80,Excellent,2
STU1164,Female,23,13,73,59,Yes,5,70,94,Excellent,1
STU1165,Male,24,36,66,83,No,10,48,45,Poor,2
STU1166,Female,22,19,89,80,Yes,0,41,44,Poor,2
STU1167,Male,18,17,59,54,No,14,52,37,Poor,3
STU1168,Male,18,9,51,83,Yes,11,34,53,Average,3
STU1169,Female,20,15,93,85,Yes,17,55,36,Poor,2
STU1170,Female,24,14,72,97,Yes,4,92,51,Average,2
STU1171,Male,22,17,55,61,Yes,10,81,36,Poor,1
STU1172,Male,20,19,51,89,Yes,18,39,87,Excellent,3
STU1173,Female,20,11,70,91,Yes,0,68,50,Average,3
STU1174,Female,24,32,84,45,Yes,16,52,44,Poor,1
STU1175,Female,18,36,98,43,No,7,40,77,Excellent,0
STU1176,Male,22,39,78,97,Yes,15,77,92,Excellent,2
STU1177,Male,18,19,56,62,Yes,10,45,94,Excellent,3
STU1178,Male,20,25,78,83,Yes,18,75,58,Average,2
STU1179,Male,22,10,86,84,Yes,10,76,50,Average,2
STU1180,Male,20,5,72,58,Yes,14,77,43,Poor,1
STU1181,Male,21,8,82,93,Yes,7,98,40,Poor,2
STU1182,Female,24,15,57,84,Yes,13,54,99,Excellent,1
STU1183,Male,23,30,61,70,Yes,0,66,58,Average,1
STU1184,Male,22,27,95,83,Yes,9,92,44,Poor,2
STU1185,Male,22,33,97,91,Yes,6,58,61,Average,2
STU1186,Female,23,25,59,42,Yes,17,87,37,Poor,1
STU1187,Male,20,31,64,67,Yes,11,60,72,Average,3
STU1188,Male,21,17,73,42,Yes,1,97,51,Average,1
STU1189,Female,19,27,75,53,Yes,17,70,82,Excellent,0
STU1190,Male,23,20,96,57,Yes,6,79,83,Excellent,0
STU1191,Male,24,34,91,66,Yes,19,73,77,Excellent,2
STU1192,Male,18,8,88,90,No,11,38,41,Poor,3
STU1193,Male,20,20,52,99,Yes,19,88,55,Average,3
STU1194,Male,23,35,51,49,Yes,13,56,59,Average,1
STU1195,Female,23,29,55,88,Yes,9,88,95,Excellent,2
STU1196,Female,22,16,70,54,No,8,32,62,Average,1
STU1197,Female,18,30,58,58,Yes,14,36,86,Excellent,3
STU1198,Male,18,37,59,48,No,19,45,47,Poor,3
STU1199,Male,24,32,85,43,Yes,9,78,68,Average,1
STU1200,Male,18,13,52,54,Yes,18,61,38,Poor,3
STU1201,Female,23,16,90,90,Yes,18,73,78,Excellent,2
STU1202,Male,19,9,73,87,Yes,11,48,49,Poor,3
STU1203,Male,17,32,71,47,Yes,11,32,42,Poor,3
STU1204,Female,20,39,98,88,Yes,8,89,39,Poor,2
STU1205,Male,17,9,63,92,Yes,19,64,80,Excellent,3
STU1206,Female,23,38,91,40,Yes,3,58,99,Excellent,0
STU1207,Female,17,38,94,46,Yes,0,99,60,Average,0
STU1208,Female,23,17,93,92,Yes,15,74,65,Average,2
STU1209,Male,17,18,76,70,No,0,56,85,Excellent,3
STU1210,Male,18,15,82,57,Yes,12,98,75,Excellent,0
STU1211,Male,21,8,71,51,Yes,2,64,85,Excellent,1
STU1212,Male,18,37,78,87,Yes,11,48,53,Average,3
STU1213,Male,18,11,68,69,No,8,46,37,Poor,3
STU1214,Male,24,12,68,72,Yes,3,64,72,Average,1
STU1215,Male,22,14,55,98,Yes,1,59,79,Excellent,2
STU1216,Female,22,19,94,86,No,8,77,75,Excellent,2
STU1217,Male,17,19,68,46,No,19,86,59,Average,0
STU1218,Female,23,9,62,67,Yes,12,46,84,Excellent,1
STU1219,Male,24,33,75,88,Yes,13,44,35,Poor,2
STU1220,Male,18,23,71,42,Yes,2,43,88,Excellent,0
STU1221,Male,24,14,70,82,Yes,17,43,47,Poor,2
STU1222,Female,17,16,85,45,No,8,74,74,Average,0
STU1223,Female,22,8,51,70,No,14,67,55,Average,1
STU1224,Female,21,35,96,77,Yes,9,92,75,Excellent,2
STU1225,Female,20,22,93,54,Yes,16,40,95,Excellent,0
STU1226,Male,17,20,79,46,Yes,12,77,67,Average,0
STU1227,Female,24,29,76,82,No,0,55,63,Average,2
STU1228,Male,21,27,56,69,Yes,10,96,89,Excellent,1
STU1229,Male,20,16,69,66,Yes,4,54,66,Average,3
STU1230,Female,19,38,99,56,Yes,8,90,45,Poor,0
STU1231,Female,17,7,80,94,Yes,6,55,86,Excellent,3
STU1232,Female,17,13,72,57,Yes,6,63,70,Average,3
STU1233,Female,19,22,62,61,No,1,38,65,Average,3
STU1234,Female,19,39,66,95,Yes,18,69,48,Poor,3
STU1235,Female,17,38,53,92,Yes,19,36,97,Excellent,3
STU1236,Female,19,18,63,65,Yes,17,59,86,Excellent,3
STU1237,Female,18,8,69,90,No,9,95,88,Excellent,3
STU1238,Male,20,33,62,66,Yes,4,59,84,Excellent,1
STU1239,Female,20,19,52,79,Yes,15,97,88,Excellent,3
STU1240,Female,20,32,75,63,No,4,87,69,Average,0
STU1241,Male,18,20,75,91,No,14,84,64,Average,3
STU1242,Female,23,16,67,47,No,15,43,89,Excellent,1
STU1243,Male,19,9,81,60,Yes,3,66,35,Poor,0
STU1244,Male,21,38,63,68,Yes,13,73,49,Poor,1
STU1245,Female,19,5,96,82,Yes,16,35,59,Average,0
STU1246,Male,17,36,52,60,Yes,16,55,54,Average,3
STU1247,Male,22,30,50,42,Yes,15,43,50,Average,1
STU1248,Male,24,21,75,70,Yes,8,37,86,Excellent,1
STU1249,Male,24,31,73,94,Yes,1,53,99,Excellent,2
STU1250,Female,20,28,98,66,Yes,10,68,35,Poor,0
STU1251,Male,19,39,84,85,Yes,14,78,50,Average,2
STU1252,Female,21,30,63,66,No,2,92,61,Average,1
STU1253,Male,17,27,52,48,Yes,15,55,52,Average,3
STU1254,Male,18,26,62,96,Yes,18,39,78,Excellent,3
STU1255,Male,23,8,96,72,Yes,5,87,84,Excellent,2
STU1256,Male,18,13,99,72,Yes,13,43,48,Poor,0
STU1257,Female,21,8,63,65,Yes,4,68,86,Excellent,1
STU1258,Female,17,11,70,67,Yes,4,60,84,Excellent,3
STU1259,Male,20,27,75,83,Yes,5,79,51,Average,2
STU1260,Male,19,6,52,82,No,17,45,37,Poor,3
STU1261,Female,17,28,89,70,Yes,17,80,96,Excellent,0
STU1262,Male,24,35,53,92,Yes,18,44,55,Average,2
STU1263,Male,23,35,85,40,Yes,1,67,67,Average,0
STU1264,Male,18,38,92,59,Yes,16,50,35,Poor,0
STU1265,Female,23,28,50,51,Yes,0,45,90,Excellent,1
STU1266,Female,23,30,89,56,Yes,8,96,38,Poor,2
STU1267,Female,21,20,96,54,Yes,12,94,56,Average,0
STU1268,Male,21,17,82,73,No,3,42,92,Excellent,0
STU1269,Male,19,19,56,89,No,4,93,78,Excellent,3
STU1270,Female,21,31,60,55,No,17,90,91,Excellent,1
STU1271,Female,21,8,76,43,Yes,9,61,74,Average,0
STU1272,Female,17,20,63,47,Yes,3,41,90,Excellent,3
STU1273,Female,24,34,71,73,No,12,70,97,Excellent,2
STU1274,Male,20,34,65,85,Yes,12,95,73,Average,2
STU1275,Female,19,7,95,64,No,16,37,41,Poor,0
STU1276,Male,17,26,61,54,Yes,7,88,48,Poor,3
STU1277,Female,20,26,98,67,Yes,3,54,52,Average,0
STU1278,Male,23,16,95,48,Yes,2,34,89,Excellent,0
STU1279,Female,17,25,59,41,Yes,10,74,90,Excellent,3
STU1280,Female,22,8,73,56,Yes,11,31,91,Excellent,1
STU1281,Female,17,35,95,97,No,8,71,92,Excellent,2
STU1282,Female,21,35,67,49,Yes,14,67,59,Average,1
STU1283,Male,20,27,71,48,Yes,12,32,37,Poor,1
STU1284,Female,19,24,58,70,No,4,75,55,Average,3
STU1285,Male,19,19,66,41,Yes,4,51,66,Average,1
STU1286,Male,20,27,87,63,Yes,18,62,36,Poor,0
STU1287,Male,21,32,89,58,Yes,10,61,54,Average,0
STU1288,Male,18,20,62,56,Yes,8,46,52,Average,3
STU1289,Female,17,25,99,82,Yes,2,85,88,Excellent,0
STU1290,Male,21,19,86,88,Yes,17,32,70,Average,2
STU1291,Male,22,21,55,49,No,12,99,95,Excellent,1
STU1292,Male,24,17,70,89,Yes,11,78,94,Excellent,2
STU1293,Female,23,23,85,94,Yes,8,84,70,Average,2
STU1294,Female,20,34,56,67,Yes,9,60,78,Excellent,1
STU1295,Female,24,22,85,77,Yes,12,50,78,Excellent,2
STU1296,Female,17,18,74,87,Yes,19,45,63,Average,3
STU1297,Male,19,24,60,67,Yes,19,46,82,Excellent,3
STU1298,Male,23,23,93,98,Yes,12,30,70,Average,2
STU1299,Female,24,11,63,89,Yes,8,94,42,Poor,2
STU1300,Male,18,8,94,91,Yes,9,95,39,Poor,2
STU1301,Male,24,38,78,89,Yes,18,66,81,Excellent,2
STU1302,Male,22,6,59,40,Yes,5,53,77,Excellent,1
STU1303,Female,19,9,99,99,Yes,6,91,44,Poor,2
STU1304,Female,20,14,97,42,Yes,14,50,44,Poor,0
STU1305,Male,17,36,54,54,Yes,18,66,40,Poor,3
STU1306,Female,20,17,57,91,No,13,64,50,Average,3
STU1307,Female,23,9,95,49,Yes,15,67,94,Excellent,0
STU1308,Female,17,14,54,60,No,13,82,60,Average,3
STU1309,Female,21,14,73,76,Yes,19,44,55,Average,3
STU1310,Female,18,31,89,54,No,1,71,92,Excellent,0
STU1311,Male,21,25,75,62,Yes,8,33,75,Excellent,1
STU1312,Female,21,12,55,53,Yes,2,68,64,Average,1
STU1313,Male,20,5,65,54,Yes,5,52,39,Poor,1
STU1314,Male,23,32,85,49,Yes,4,44,44,Poor,1
STU1315,Female,18,18,61,95,Yes,13,41,45,Poor,3
STU1316,Male,24,25,60,48,Yes,14,99,97,Excellent,1
STU1317,Male,17,34,52,83,Yes,17,83,41,Poor,3
STU1318,Male,17,25,93,78,Yes,16,67,93,Excellent,0
STU1319,Female,22,13,86,44,No,8,57,46,Poor,0
STU1320,Female,19,21,55,64,Yes,18,48,98,Excellent,3
STU1321,Male,22,9,68,95,Yes,8,98,75,Excellent,2
STU1322,Female,24,35,67,81,Yes,15,93,94,Excellent,2
STU1323,Female,22,23,65,96,Yes,5,33,62,Average,2
STU1324,Female,17,37,72,65,Yes,7,39,97,Excellent,3
STU1325,Female,20,17,92,47,Yes,2,41,37,Poor,0
STU1326,Male,21,18,86,61,Yes,4,98,66,Average,0
STU1327,Male,23,37,58,91,No,6,36,55,Average,2
STU1328,Female,21,33,52,64,Yes,0,73,89,Excellent,1
STU1329,Female,21,14,57,87,Yes,3,52,52,Average,3
STU1330,Male,18,35,87,51,Yes,15,31,87,Excellent,0
STU1331,Male,17,10,53,48,Yes,13,66,95,Excellent,3
STU1332,Female,24,5,61,49,Yes,0,98,84,Excellent,1
STU1333,Male,24,11,93,87,Yes,3,49,42,Poor,2
STU1334,Female,23,31,80,49,Yes,9,73,46,Poor,1
STU1335,Female,20,25,74,48,Yes,10,99,85,Excellent,0
STU1336,Male,18,32,65,65,Yes,6,80,75,Excellent,3
STU1337,Male,19,20,91,74,No,3,60,56,Average,0
STU1338,Female,20,27,63,66,Yes,0,70,43,Poor,3
STU1339,Female,22,24,62,99,Yes,0,87,45,Poor,2
STU1340,Male,20,29,90,70,Yes,16,34,47,Poor,0
STU1341,Female,20,32,56,58,Yes,9,62,90,Excellent,1
STU1342,Male,21,9,61,82,Yes,4,72,62,Average,3
STU1343,Female,20,25,86,77,Yes,6,48,98,Excellent,0
STU1344,Male,24,22,99,45,Yes,7,61,98,Excellent,0
STU1345,Male,22,10,53,54,Yes,1,32,89,Excellent,1
STU1346,Male,22,33,51,68,No,8,30,71,Average,1
STU1347,Female,17,23,84,86,Yes,3,70,67,Average,3
STU1348,Female,20,37,93,84,Yes,11,77,59,Average,2
STU1349,Male,21,5,52,93,No,10,68,57,Average,3
STU1350,Female,20,7,53,44,No,4,34,94,Excellent,1
STU1351,Male,19,25,87,53,Yes,11,40,90,Excellent,0
STU1352,Male,19,39,61,92,Yes,3,51,97,Excellent,3
STU1353,Female,21,7,68,41,Yes,12,93,42,Poor,1
STU1354,Female,17,29,59,62,Yes,0,41,51,Average,3
STU1355,Male,17,24,50,83,Yes,17,82,91,Excellent,3
STU1356,Female,22,38,66,91,Yes,3,84,96,Excellent,2
STU1357,Female,22,25,65,85,Yes,3,82,45,Poor,2
STU1358,Male,18,27,58,58,Yes,7,50,74,Average,3
STU1359,Male,21,10,58,63,Yes,19,48,74,Average,1
STU1360,Female,20,17,58,59,Yes,5,98,90,Excellent,1
STU1361,Male,23,27,61,86,Yes,3,95,87,Excellent,2
STU1362,Male,21,13,90,66,Yes,3,88,62,Average,0
STU1363,Female,18,21,64,91,Yes,10,78,76,Excellent,3
STU1364,Male,22,6,51,63,Yes,8,88,80,Excellent,1
STU1365,Male,21,23,60,56,Yes,13,52,52,Average,1
STU1366,Female,21,23,60,64,Yes,3,32,57,Average,1
STU1367,Female,22,11,57,85,Yes,12,85,60,Average,2
STU1368,Male,24,24,81,94,No,5,87,63,Average,2
STU1369,Male,18,13,55,70,No,12,91,86,Excellent,3
STU1370,Female,22,21,69,67,Yes,2,47,80,Excellent,1
STU1371,Female,17,31,88,89,No,6,90,35,Poor,3
STU1372,Female,20,6,84,98,Yes,0,66,97,Excellent,2
STU1373,Female,22,23,57,67,Yes,10,83,50,Average,1
STU1374,Male,18,21,99,61,No,1,94,59,Average,0
STU1375,Female,19,9,98,95,Yes,4,43,96,Excellent,2
STU1376,Female,17,22,92,98,Yes,13,34,50,Average,3
STU1377,Male,19,11,83,44,Yes,12,91,68,Average,0
STU1378,Female,23,21,68,93,Yes,15,30,87,Excellent,2
STU1379,Male,22,8,56,83,Yes,14,92,57,Average,2
STU1380,Female,17,29,80,81,Yes,2,96,77,Excellent,3
STU1381,Female,20,9,67,47,Yes,5,49,78,Excellent,1
STU1382,Female,22,34,89,77,Yes,8,72,66,Average,2
STU1383,Male,20,16,63,67,Yes,2,71,57,Average,3
STU1384,Male,24,8,88,96,No,12,98,54,Average,2
STU1385,Female,21,28,85,86,Yes,12,68,53,Average,2
STU1386,Male,19,33,66,51,Yes,6,91,63,Average,1
STU1387,Male,17,13,86,96,Yes,4,77,52,Average,3
STU1388,Male,20,8,93,64,No,7,35,46,Poor,0
STU1389,Male,18,28,58,77,Yes,7,71,44,Poor,3
STU1390,Male,20,18,69,83,Yes,6,87,71,Average,3
STU1391,Male,18,9,94,54,Yes,18,72,89,Excellent,0
STU1392,Female,22,22,77,83,No,6,39,38,Poor,2
STU1393,Female,17,23,99,80,Yes,3,68,97,Excellent,0
STU1394,Male,20,16,69,90,Yes,9,42,46,Poor,3
STU1395,Female,23,22,90,92,Yes,12,68,52,Average,2
STU1396,Female,20,21,85,73,Yes,3,40,42,Poor,0
STU1397,Female,24,34,76,99,Yes,18,45,66,Average,2
STU1398,Female,23,28,57,84,Yes,9,62,83,Excellent,2
STU1399,Male,17,15,81,52,Yes,6,89,97,Excellent,0
STU1400,Female,24,39,50,47,Yes,4,88,93,Excellent,1
STU1401,Female,20,27,66,98,Yes,2,80,73,Average,2
STU1402,Male,18,21,58,52,No,1,44,84,Excellent,3
STU1403,Male,20,5,69,75,No,10,72,60,Average,3
STU1404,Female,19,19,94,45,Yes,9,56,57,Average,0
STU1405,Female,22,36,81,77,Yes,12,85,97,Excellent,2
STU1406,Female,21,13,51,71,Yes,6,89,73,Average,1
STU1407,Female,18,19,81,60,Yes,9,99,80,Excellent,0
STU1408,Female,19,32,94,83,Yes,3,76,49,Poor,2
STU1409,Female,23,28,58,83,Yes,19,37,50,Average,1
STU1410,Male,22,39,79,88,Yes,15,92,50,Average,2
STU1411,Female,17,26,69,98,Yes,19,36,73,Average,3
STU1412,Female,18,31,87,46,No,5,31,45,Poor,0
STU1413,Male,21,23,50,65,Yes,8,46,70,Average,1
STU1414,Male,22,16,54,54,Yes,12,33,52,Average,1
STU1415,Male,23,24,84,95,Yes,6,55,57,Average,2
STU1416,Male,24,5,85,88,No,17,98,83,Excellent,2
STU1417,Female,24,25,50,81,Yes,13,34,76,Excellent,1
STU1418,Female,21,5,63,62,Yes,4,34,78,Excellent,1
STU1419,Female,17,14,58,91,Yes,12,98,35,Poor,3
STU1420,Female,17,36,79,77,Yes,7,32,41,Poor,3
STU1421,Female,23,26,73,80,Yes,14,67,82,Excellent,2
STU1422,Female,18,22,53,54,Yes,18,30,50,Average,3
STU1423,Male,23,36,99,87,Yes,8,37,82,Excellent,2
STU1424,Female,20,31,63,92,Yes,5,42,77,Excellent,3
STU1425,Male,17,32,74,79,Yes,13,99,85,Excellent,3
STU1426,Male,22,22,53,55,Yes,9,79,65,Average,1
STU1427,Female,20,33,74,71,Yes,8,37,73,Average,3
STU1428,Male,24,22,59,76,Yes,16,59,43,Poor,1
STU1429,Female,24,12,84,57,No,12,69,75,Excellent,1
STU1430,Male,19,35,56,59,Yes,16,62,97,Excellent,1
STU1431,Female,21,38,91,85,No,18,81,48,Poor,2
STU1432,Male,20,11,62,41,Yes,12,62,92,Excellent,1
STU1433,Female,21,22,53,94,No,8,66,98,Excellent,3
STU1434,Female,23,13,99,62,No,0,99,62,Average,0
STU1435,Female,20,13,92,69,Yes,0,98,38,Poor,0
STU1436,Female,23,12,85,42,No,4,33,68,Average,1
